,X,Var1,Var2,value,L1
1,1,Neotraditional (21%),Desirable,0.252,"H FT 
W Home"
2,2,Dual-earners (12%),Desirable,0,"H FT 
W Home"
3,3,Intensive Parents (15%),Desirable,0.186,"H FT 
W Home"
4,4,Strong Intensive Parents (3%),Desirable,0.247,"H FT 
W Home"
5,5,Conventional Realists (23%),Desirable,0.307,"H FT 
W Home"
6,6,Conventional (26%),Desirable,0.603,"H FT 
W Home"
7,7,Neotraditional (21%),Acceptable,0.459,"H FT 
W Home"
8,8,Dual-earners (12%),Acceptable,0.01,"H FT 
W Home"
9,9,Intensive Parents (15%),Acceptable,0.625,"H FT 
W Home"
10,10,Strong Intensive Parents (3%),Acceptable,0.371,"H FT 
W Home"
11,11,Conventional Realists (23%),Acceptable,0.45,"H FT 
W Home"
12,12,Conventional (26%),Acceptable,0.32,"H FT 
W Home"
13,13,Neotraditional (21%),Somewhat Acceptable,0.237,"H FT 
W Home"
14,14,Dual-earners (12%),Somewhat Acceptable,0.317,"H FT 
W Home"
15,15,Intensive Parents (15%),Somewhat Acceptable,0.17,"H FT 
W Home"
16,16,Strong Intensive Parents (3%),Somewhat Acceptable,0.215,"H FT 
W Home"
17,17,Conventional Realists (23%),Somewhat Acceptable,0.23,"H FT 
W Home"
18,18,Conventional (26%),Somewhat Acceptable,0.057,"H FT 
W Home"
19,19,Neotraditional (21%),Not Acceptable,0.052,"H FT 
W Home"
20,20,Dual-earners (12%),Not Acceptable,0.673,"H FT 
W Home"
21,21,Intensive Parents (15%),Not Acceptable,0.019,"H FT 
W Home"
22,22,Strong Intensive Parents (3%),Not Acceptable,0.167,"H FT 
W Home"
23,23,Conventional Realists (23%),Not Acceptable,0.012,"H FT 
W Home"
24,24,Conventional (26%),Not Acceptable,0.02,"H FT 
W Home"
25,25,Neotraditional (21%),Desirable,0.256,"H FT 
W PT"
26,26,Dual-earners (12%),Desirable,0.073,"H FT 
W PT"
27,27,Intensive Parents (15%),Desirable,0.122,"H FT 
W PT"
