,x,group,class,predicted,std.error,conf.low,conf.high
1,1976,White men,Conventional,0.56717341,0.069096137,0.533674445,0.600069301
2,1977,White men,Conventional,0.550736973,0.062753588,0.520152587,0.580942486
3,1978,White men,Conventional,0.522239774,0.057017971,0.49431641,0.550024826
4,1979,White men,Conventional,0.527313518,0.058523742,0.498664632,0.555783648
5,1980,White men,Conventional,0.466902175,0.059024516,0.438249084,0.495775285
6,1981,White men,Conventional,0.45300784,0.056676934,0.425652877,0.480649597
7,1982,White men,Conventional,0.453496535,0.05579589,0.426557388,0.480710807
8,1983,White men,Conventional,0.392242511,0.058638464,0.365209256,0.419952994
9,1984,White men,Conventional,0.389946889,0.060526825,0.362122,0.418507059
10,1985,White men,Conventional,0.36460248,0.062489539,0.336725605,0.393418323
11,1986,White men,Conventional,0.317045793,0.066836836,0.289383649,0.346064444
12,1987,White men,Conventional,0.297280132,0.065263655,0.271268184,0.324675079
13,1988,White men,Conventional,0.299865029,0.066016314,0.27342184,0.327712129
14,1989,White men,Conventional,0.283186134,0.072680373,0.25518203,0.312972092
15,1990,White men,Conventional,0.254228394,0.075351585,0.227255639,0.283229141
16,1991,White men,Conventional,0.269949348,0.078057984,0.240878276,0.301137143
17,1992,White men,Conventional,0.237345292,0.083382178,0.209041047,0.268182527
18,1993,White men,Conventional,0.205747701,0.085377451,0.179743357,0.234438946
19,1994,White men,Conventional,0.205477219,0.088786222,0.178517458,0.235342038
20,1995,White men,Conventional,0.198701904,0.090039751,0.172087847,0.22829695
21,1996,White men,Conventional,0.199034553,0.094310331,0.171194635,0.230144668
22,1997,White men,Conventional,0.187447914,0.102547301,0.15873534,0.219995948
23,1998,White men,Conventional,0.18018111,0.102330313,0.152427842,0.211725258
24,1999,White men,Conventional,0.214784901,0.10206448,0.182968546,0.250437949
25,2000,White men,Conventional,0.179170217,0.11912095,0.14736083,0.216105675
26,2001,White men,Conventional,0.166579212,0.12273839,0.135798881,0.20269985
27,2002,White men,Conventional,0.20990506,0.104858192,0.177845072,0.246015086
28,2003,White men,Conventional,0.194244072,0.108595976,0.163076998,0.229732689
29,2004,White men,Conventional,0.19446278,0.104511894,0.1643642,0.228565477
30,2005,White men,Conventional,0.202871259,0.10323137,0.172106026,0.237557963
31,2006,White men,Conventional,0.184727106,0.115550243,0.153018817,0.221289259
32,2007,White men,Conventional,0.173021134,0.123924034,0.14097057,0.210572373
33,2008,White men,Conventional,0.156754739,0.130218995,0.12588975,0.193511779
34,2009,White men,Conventional,0.123935255,0.139549493,0.097159435,0.156808507
35,2010,White men,Conventional,0.153344065,0.129609391,0.123181629,0.189297628
