"","x","group","class","predicted","std.error","conf.low","conf.high"
"1",1976,"White men","Conventional",0.625600367318568,0.0710898644586638,0.592438309308515,0.657623503711953
"2",1977,"White men","Conventional",0.549389688357905,0.0626157559077633,0.518861162575901,0.579550815075518
"3",1978,"White men","Conventional",0.528108891019251,0.0570594021136063,0.50017996615577,0.555862956372462
"4",1979,"White men","Conventional",0.521669333056028,0.0583488318182775,0.493092952281318,0.550104584815918
"5",1980,"White men","Conventional",0.468960473912442,0.0589766979621095,0.440308487560322,0.49781857281779
"6",1981,"White men","Conventional",0.463851058899648,0.0566005140131313,0.436400508237018,0.491522432072784
"7",1982,"White men","Conventional",0.452405546840727,0.0557521482056403,0.425501708172321,0.479590407781642
"8",1983,"White men","Conventional",0.38719806060541,0.058705652689421,0.360276006313586,0.414827362301427
"9",1984,"White men","Conventional",0.38773552097932,0.0605507139496414,0.359964528873037,0.416255613491693
"10",1985,"White men","Conventional",0.367368807713389,0.0623820608008263,0.339440631885033,0.396216537024542
"11",1986,"White men","Conventional",0.335912378592979,0.0659411774966356,0.307718750315305,0.365325989756525
"12",1987,"White men","Conventional",0.317053969112095,0.0642248587263108,0.290445318109897,0.344915354422269
"13",1988,"White men","Conventional",0.307795225312257,0.065551323160886,0.281117467457486,0.335822009066102
"14",1989,"White men","Conventional",0.302955310174923,0.0713287742451208,0.274269795170614,0.333263289569302
"15",1990,"White men","Conventional",0.251771328401629,0.0755852836301779,0.224900761303547,0.280689717734022
"16",1991,"White men","Conventional",0.254700376057157,0.079454349636241,0.226281883487129,0.28537153913027
"17",1992,"White men","Conventional",0.210138721285203,0.0868528027178866,0.183274532263952,0.239784548196441
"18",1993,"White men","Conventional",0.188667108060965,0.0881129877054413,0.163639679073174,0.216531295422514
"19",1994,"White men","Conventional",0.236766445200694,0.0844570768347641,0.208164881376755,0.267967920388184
"20",1995,"White men","Conventional",0.219868713548157,0.0867723369290722,0.192087577300107,0.250422362674432
"21",1996,"White men","Conventional",0.228978623389126,0.0896957936708762,0.199425641985233,0.261480668635853
"22",1997,"White men","Conventional",0.210852125065032,0.0980674894723168,0.180641781239668,0.244606516771387
"23",1998,"White men","Conventional",0.20281765526164,0.0978001344831649,0.173580526936776,0.235575577753997
"24",1999,"White men","Conventional",0.202294436598737,0.104132187852079,0.171347013460024,0.237231163371531
"25",2000,"White men","Conventional",0.177715177051814,0.11937204225551,0.14605673703038,0.214511950837425
"26",2001,"White men","Conventional",0.160843192388461,0.124252978323821,0.130618745160237,0.196480810901539
"27",2002,"White men","Conventional",0.180599827648681,0.110822095114153,0.150652032132006,0.214993943735578
"28",2003,"White men","Conventional",0.180163307149361,0.111611772644904,0.150077094765625,0.214756942399508
"29",2004,"White men","Conventional",0.195030568955433,0.104148420616922,0.164960201316651,0.229078671965867
"30",2005,"White men","Conventional",0.206942272124959,0.102161973581564,0.175999507790362,0.241729224781573
"31",2006,"White men","Conventional",0.18538676024858,0.115081223087603,0.153706112930552,0.221885162584007
"32",2007,"White men","Conventional",0.167342174690846,0.125023943610709,0.135916985859537,0.204315124786262
"33",2008,"White men","Conventional",0.161078589498796,0.128482410802245,0.12987713359947,0.198069533697378
"34",2009,"White men","Conventional",0.100811923432057,0.152398149930449,0.0767794968752773,0.131296847722538
"35",2010,"White men","Conventional",0.145007167764406,0.132235945156146,0.115731530200957,0.180179443294194
"36",2011,"White men","Conventional",0.119902988705564,0.140550220622767,0.0937381926044033,0.152144978640716
"37",2012,"White men","Conventional",0.114329792378523,0.150171451970608,0.0877367212654577,0.147678419348922
"38",2013,"White men","Conventional",0.115605457986632,0.152219307953079,0.0884213460548534,0.149773867379694
"39",2014,"White men","Conventional",0.14702827760238,0.159173858487508,0.112039428285932,0.190598427650068
"40",1976,"White women","Conventional",0.5321153683945,0.0702491318097131,0.497738216317268,0.566190314257049
"41",1977,"White women","Conventional",0.453263481419142,0.0602460715830027,0.424195553780651,0.48265364472576
"42",1978,"White women","Conventional",0.427673370775632,0.0548905202757494,0.401568593022674,0.45418718713702
"43",1979,"White women","Conventional",0.397718664062278,0.0582579939960061,0.370712042039682,0.425362852033625
"44",1980,"White women","Conventional",0.393814955610152,0.0596070208116347,0.3662979625207,0.422022444964855
"45",1981,"White women","Conventional",0.327006900803763,0.0589449269248141,0.30210716888818,0.352921065153217
"46",1982,"White women","Conventional",0.284883549115544,0.0613468993389343,0.261033735895178,0.309998312920154
"47",1983,"White women","Conventional",0.281886166409112,0.0638626135045395,0.257253428301791,0.30789979680828
"48",1984,"White women","Conventional",0.260081511152117,0.0665625895211434,0.235771228062183,0.285960485321562
"49",1985,"White women","Conventional",0.232437396644298,0.0677295667587639,0.209598602669918,0.256955769522976
"50",1986,"White women","Conventional",0.223363558888706,0.069874475962009,0.200507893590308,0.24801630885008
"51",1987,"White women","Conventional",0.203088655335752,0.0703577355830022,0.181681056434783,0.226321090063275
"52",1988,"White women","Conventional",0.185505059333293,0.0748693091008321,0.164347851328788,0.208705687162271
"53",1989,"White women","Conventional",0.201313237074024,0.0796685672851261,0.177372088269054,0.227591847775388
"54",1990,"White women","Conventional",0.164999099116134,0.0933133552615967,0.141318288814925,0.191761934229978
"55",1991,"White women","Conventional",0.1539991107877,0.0967009172332066,0.130890969934815,0.180340353980551
"56",1992,"White women","Conventional",0.154326281056795,0.0945057105252417,0.13166779390084,0.180075397161531
"57",1993,"White women","Conventional",0.163430028613695,0.0932943579755124,0.13994115396111,0.189990540186652
"58",1994,"White women","Conventional",0.135927267616122,0.0991010302732586,0.114683256046184,0.160393581934933
"59",1995,"White women","Conventional",0.123961299730808,0.103434402950165,0.103570365897722,0.14770531771774
"60",1996,"White women","Conventional",0.153639258583131,0.102538112332587,0.129283439444495,0.181626375324906
"61",1997,"White women","Conventional",0.123443831170914,0.114854954284733,0.101075969874271,0.149936017475378
"62",1998,"White women","Conventional",0.139298012876289,0.115247146258761,0.114354553105948,0.168646196942853
"63",1999,"White women","Conventional",0.0861912554908181,0.150975611871554,0.0655613681943934,0.112530904462562
"64",2000,"White women","Conventional",0.104858255077362,0.142401184368238,0.0814001280673207,0.134089809585536
"65",2001,"White women","Conventional",0.10123759282069,0.146855366368986,0.0778890780049766,0.130593956792548
"66",2002,"White women","Conventional",0.104705947770921,0.146098911006309,0.0807392569832477,0.134744122240016
