,x,group,class,predicted,std.error,conf.low,conf.high
1,1976,HIGH SCHOOL,Conventional,0.546855794,0.068294559,0.513526661,0.579770075
2,1977,HIGH SCHOOL,Conventional,0.49059157,0.059499477,0.461512538,0.519734411
3,1978,HIGH SCHOOL,Conventional,0.487674541,0.055836681,0.460395711,0.515026987
4,1979,HIGH SCHOOL,Conventional,0.466490675,0.057569933,0.438543938,0.494649324
5,1980,HIGH SCHOOL,Conventional,0.414946268,0.059746744,0.386830185,0.443627401
6,1981,HIGH SCHOOL,Conventional,0.388112658,0.057198318,0.361846404,0.415045506
7,1982,HIGH SCHOOL,Conventional,0.345777283,0.058580402,0.320283678,0.372188975
8,1983,HIGH SCHOOL,Conventional,0.30967641,0.062301278,0.284196293,0.336367485
9,1984,HIGH SCHOOL,Conventional,0.315212595,0.063249289,0.289085959,0.342562679
10,1985,HIGH SCHOOL,Conventional,0.279073397,0.067100418,0.253396856,0.306284376
11,1986,HIGH SCHOOL,Conventional,0.251721402,0.072775754,0.225815785,0.279525887
12,1987,HIGH SCHOOL,Conventional,0.28869503,0.068985561,0.261740929,0.317232124
13,1988,HIGH SCHOOL,Conventional,0.237529,0.076655971,0.211398242,0.265801076
14,1989,HIGH SCHOOL,Conventional,0.214893672,0.084163227,0.188370575,0.244028453
15,1990,HIGH SCHOOL,Conventional,0.223810364,0.084757692,0.196278257,0.253984007
16,1991,HIGH SCHOOL,Conventional,0.194155628,0.095058044,0.166652358,0.224972515
17,1992,HIGH SCHOOL,Conventional,0.166428897,0.102820798,0.140315031,0.196293089
18,1993,HIGH SCHOOL,Conventional,0.162086804,0.099776062,0.137247739,0.190429009
19,1994,HIGH SCHOOL,Conventional,0.174511878,0.104619245,0.146911614,0.206045013
20,1995,HIGH SCHOOL,Conventional,0.130810338,0.117518631,0.106772094,0.159295322
21,1996,HIGH SCHOOL,Conventional,0.167140032,0.115574408,0.137934155,0.201087408
22,1997,HIGH SCHOOL,Conventional,0.175401867,0.117385042,0.144564257,0.211193548
23,1998,HIGH SCHOOL,Conventional,0.164964072,0.113820235,0.136480986,0.198028282
24,1999,HIGH SCHOOL,Conventional,0.191266071,0.122291471,0.15689809,0.231098723
25,2000,HIGH SCHOOL,Conventional,0.176985479,0.128073464,0.143327248,0.21654983
26,2001,HIGH SCHOOL,Conventional,0.165964448,0.140653798,0.131224083,0.20770318
27,2002,HIGH SCHOOL,Conventional,0.149740645,0.141015203,0.117842525,0.188428794
28,2003,HIGH SCHOOL,Conventional,0.131777712,0.144961254,0.102527621,0.167812229
29,2004,HIGH SCHOOL,Conventional,0.161332022,0.13039339,0.129665818,0.198963671
30,2005,HIGH SCHOOL,Conventional,0.180332728,0.132583727,0.145051276,0.22196781
31,2006,HIGH SCHOOL,Conventional,0.170025026,0.14051925,0.134602543,0.212480613
32,2007,HIGH SCHOOL,Conventional,0.133681972,0.162001349,0.10098704,0.17490268
33,2008,HIGH SCHOOL,Conventional,0.138898664,0.157009101,0.106006343,0.179942755
34,2009,HIGH SCHOOL,Conventional,0.123714104,0.174219681,0.091190613,0.165722025
35,2010,HIGH SCHOOL,Conventional,0.102389266,0.188540251,0.073068202,0.141677992
